Date,Open,High,Low,Close,Volume,Adj Close
2016-08-26,84.50,86.00,83.50,85.50,167200,85.50
2016-08-25,86.50,86.50,84.50,84.50,49400,84.50
2016-08-24,85.50,87.25,84.75,85.50,219200,85.50
2016-08-23,85.00,86.50,84.00,86.00,380000,86.00
2016-08-22,86.25,86.25,84.00,84.00,260800,84.00
2016-08-19,87.00,87.25,84.50,85.25,272000,85.25
2016-08-18,85.75,86.75,84.50,85.00,489400,85.00
2016-08-17,88.25,88.75,85.75,85.75,97100,85.75
2016-08-16,90.00,90.25,87.50,88.00,822000,88.00
2016-08-15,94.50,95.75,91.75,94.25,11700,94.25
2016-08-12,96.00,96.50,94.75,95.00,22300,95.00
2016-08-11,93.75,95.75,92.75,95.75,34700,95.75
2016-08-10,91.75,94.00,91.75,93.75,38800,93.75
2016-08-09,92.75,93.00,92.25,92.25,26400,92.25
2016-08-08,90.75,92.75,90.75,92.75,18100,92.75
2016-08-05,88.25,90.75,88.25,90.75,22700,90.75
2016-08-04,90.50,90.50,88.50,88.75,24800,88.75
2016-08-03,90.00,90.00,87.00,87.25,34100,87.25
2016-08-02,89.25,91.00,87.25,88.75,24200,88.75
2016-08-01,91.50,91.50,88.00,88.50,20900,88.50
2016-07-29,89.50,91.25,89.25,90.25,17100,90.25
2016-07-28,89.75,91.75,89.25,89.50,52200,89.50
2016-07-27,87.75,92.00,87.75,91.50,77700,91.50
2016-07-26,88.50,89.00,87.75,88.25,8600,88.25
2016-07-25,92.00,92.00,88.50,89.00,42600,89.00
2016-07-22,91.75,91.75,89.50,89.50,4400,89.50
2016-07-21,89.75,91.00,89.00,89.50,16900,89.50
2016-07-20,89.50,91.50,88.75,89.75,578900,89.75
2016-07-19,90.00,90.75,90.00,90.50,5300,90.50
2016-07-18,89.50,91.75,89.25,91.25,13400,91.25
2016-07-15,88.50,90.25,88.50,89.50,33500,89.50
2016-07-14,90.25,92.50,90.25,90.50,31400,90.50
2016-07-13,91.75,92.50,89.50,90.00,17400,90.00
2016-07-12,90.50,92.25,90.00,91.75,186800,91.75
2016-07-11,87.50,90.75,87.50,90.75,10900,90.75
2016-07-08,89.75,89.75,88.50,88.75,16600,88.75
2016-07-07,92.50,92.50,88.25,89.75,25700,89.75
2016-07-06,86.50,88.50,86.50,87.00,52800,87.00
2016-07-05,91.50,93.00,87.75,88.25,39500,88.25
2016-07-04,93.25,93.50,91.50,91.50,11000,91.50
2016-07-01,91.00,94.50,91.00,92.00,14200,92.00
2016-06-30,89.50,92.25,87.50,91.25,279000,91.25
2016-06-29,86.50,89.75,86.00,87.50,66000,87.50
2016-06-28,87.00,88.75,86.00,86.00,49500,86.00
2016-06-27,90.75,90.75,86.00,87.00,65500,87.00
2016-06-24,92.75,92.75,92.75,92.75,000,92.75
2016-06-23,89.25,94.00,89.25,92.75,138300,92.75
2016-06-22,88.00,89.75,88.00,89.25,166800,89.25
2016-06-21,90.50,90.75,87.75,88.75,71800,88.75
2016-06-20,91.00,91.25,90.25,90.25,5500,90.25
2016-06-17,88.50,90.00,87.00,88.50,235200,88.50
2016-06-16,89.75,89.75,87.50,88.50,97500,88.50
2016-06-15,92.00,92.25,89.75,90.50,103200,90.50
2016-06-14,92.75,92.75,88.50,91.75,63100,91.75
2016-06-13,90.00,93.50,90.00,92.75,49400,92.75
2016-06-10,94.50,94.50,90.75,92.00,49500,92.00
2016-06-09,94.75,95.00,92.75,94.75,39600,94.75
2016-06-08,97.00,97.75,94.25,95.00,42800,95.00
2016-06-07,97.25,97.25,94.50,97.00,269800,97.00
2016-06-06,97.25,97.25,97.25,97.25,000,97.25
2016-06-03,98.00,98.00,95.50,97.25,66300,97.25
2016-06-02,96.00,98.00,95.00,98.00,110300,98.00
2016-06-01,95.25,99.75,94.75,96.00,4914700,96.00
2016-05-31,92.50,95.00,91.75,95.00,192700,95.00
2016-05-30,93.00,93.50,91.00,92.50,7900,92.50
2016-05-27,94.50,94.50,92.50,92.75,24600,92.75
2016-05-26,92.50,93.25,92.50,93.00,35800,93.00
2016-05-25,93.75,94.50,92.75,93.00,70400,93.00
2016-05-24,94.75,94.75,92.50,92.75,77800,92.75
2016-05-23,93.00,95.00,92.25,94.75,23400,94.75
2016-05-20,91.25,93.75,90.50,92.75,61500,92.75
2016-05-19,93.00,93.00,90.75,91.00,48400,91.00
2016-05-18,92.50,95.00,92.50,92.75,20700,92.75
2016-05-17,94.50,94.75,92.50,93.75,78100,93.75
2016-05-16,93.75,95.25,93.50,94.50,29800,94.50
2016-05-13,94.00,94.25,92.25,94.25,198800,94.25
2016-05-12,91.00,93.50,91.00,92.50,24600,92.50
2016-05-11,91.75,93.50,90.50,92.50,122200,92.50
2016-05-10,94.00,94.25,91.25,94.25,52800,94.25
2016-05-09,92.00,93.75,90.00,91.50,43700,91.50
2016-05-06,92.00,92.75,91.00,91.25,164400,91.25
2016-05-05,92.50,92.50,92.50,92.50,000,92.50
2016-05-04,94.00,94.25,92.00,92.50,123000,92.50
2016-05-03,97.50,97.50,93.25,94.25,33700,94.25
2016-05-02,96.00,97.75,94.75,97.50,31400,97.26
2016-04-29,98.00,98.00,96.00,96.25,80500,96.01
2016-04-28,98.50,98.75,97.50,97.75,27600,97.51
2016-04-27,99.50,99.50,98.25,98.50,29600,98.26
2016-04-26,99.00,101.50,98.50,99.25,44100,99.01
2016-04-25,100.00,100.00,98.50,99.00,276600,98.76
2016-04-22,98.50,100.00,98.00,98.75,57200,98.51
2016-04-21,98.00,98.75,96.75,97.50,90900,97.26
2016-04-20,97.50,98.25,96.50,97.75,96600,97.51
2016-04-19,97.50,97.50,96.25,96.25,69500,96.01
2016-04-18,96.25,96.50,95.00,96.25,63200,96.01
2016-04-15,97.00,98.00,96.25,96.25,82000,96.01
2016-04-14,97.00,98.50,97.00,97.25,214000,97.01
2016-04-13,95.75,97.50,95.25,95.25,39100,95.02
2016-04-12,95.50,97.75,93.50,95.25,129000,95.02
2016-04-11,92.00,96.25,92.00,95.50,205800,95.26
2016-04-08,88.25,91.00,88.25,90.75,125800,90.53
2016-04-07,89.25,89.50,88.25,88.50,24500,88.28
2016-04-06,87.00,88.75,87.00,88.75,31500,88.53
2016-04-05,86.25,87.00,85.25,87.00,85900,86.79
2016-04-04,85.50,87.50,85.25,86.25,22400,86.04
2016-04-01,87.00,87.00,84.25,86.00,33600,85.79
2016-03-31,87.50,87.50,84.50,87.25,36800,87.04
2016-03-30,86.25,87.50,86.25,86.75,52000,86.54
2016-03-29,89.75,89.75,86.00,86.25,86700,86.04
2016-03-28,90.75,90.75,90.75,90.75,000,90.53
2016-03-25,90.75,90.75,90.75,90.75,000,90.53
2016-03-24,88.50,90.75,86.50,90.75,147300,90.53
2016-03-23,90.00,90.00,87.75,87.75,116100,87.53
2016-03-22,88.00,90.00,87.50,90.00,75500,89.78
2016-03-21,85.50,89.00,85.50,89.00,244700,88.78
2016-03-18,85.75,86.75,84.75,86.75,63700,86.54
2016-03-17,85.75,86.50,85.25,85.75,252000,85.54
2016-03-16,84.50,86.25,84.25,85.50,53100,85.29
2016-03-15,84.75,84.75,84.00,84.50,103000,84.29
2016-03-14,85.00,85.25,84.50,85.00,25700,84.79
2016-03-11,84.00,84.75,83.75,84.50,142500,84.29
2016-03-10,83.50,83.75,82.50,82.50,61000,82.30
2016-03-09,82.75,83.00,81.50,82.50,84300,82.30
2016-03-08,83.75,84.25,82.25,82.50,351200,82.30
2016-03-07,82.25,83.00,81.50,83.00,125800,82.80
2016-03-04,81.25,81.75,80.25,81.50,225300,81.30
2016-03-03,81.25,81.25,80.50,81.00,64600,80.80
2016-03-02,81.00,81.50,80.50,81.00,170600,80.80
2016-03-01,82.25,82.25,80.50,81.00,65000,80.80
2016-02-29,80.25,81.50,79.25,81.00,279900,80.80
2016-02-26,81.00,81.25,78.00,80.50,10994300,80.30
2016-02-25,84.50,85.00,83.00,84.75,18300,84.54
2016-02-24,86.00,86.00,84.25,85.00,30800,84.79
2016-02-23,85.00,85.75,84.75,85.50,170300,85.29
2016-02-22,83.75,85.50,83.00,85.50,78300,85.29
2016-02-19,83.75,86.00,81.25,82.25,76200,82.05
2016-02-18,80.00,81.75,80.00,81.00,28400,80.80
2016-02-17,81.50,83.25,80.00,80.25,21900,80.05
2016-02-16,81.50,82.50,81.00,81.75,55100,81.55
2016-02-15,84.00,84.00,80.00,81.50,6800,81.30
2016-02-12,79.00,80.00,78.00,78.50,62500,78.31
2016-02-11,81.00,81.00,77.75,79.00,21700,78.81
2016-02-10,79.50,83.75,79.00,80.25,113500,80.05
2016-02-09,81.50,81.75,79.00,79.00,33400,78.81
2016-02-08,83.75,84.00,82.00,82.25,94100,82.05
2016-02-05,85.50,86.00,84.25,85.75,5500,85.54
2016-02-04,84.50,85.50,83.00,85.50,9900,85.29
2016-02-03,85.25,85.25,83.00,83.50,21600,83.29
2016-02-02,86.00,86.00,85.00,85.25,1800,85.04
2016-02-01,85.50,88.75,83.50,87.00,38900,86.79
2016-01-29,86.00,86.00,83.00,85.50,3500,85.29
2016-01-28,86.50,86.50,84.00,84.00,2000,83.79
2016-01-27,86.50,86.50,84.50,85.75,2100,85.54
2016-01-26,86.00,86.50,84.00,86.00,153000,85.79
2016-01-25,89.75,89.75,83.75,86.00,6900,85.79
2016-01-22,79.00,87.75,79.00,85.00,62500,84.79
2016-01-21,77.25,80.25,77.25,78.50,45000,78.31
2016-01-20,79.50,80.00,78.75,78.75,19500,78.56
2016-01-19,80.00,83.75,80.00,82.00,27400,81.80
2016-01-18,79.00,83.25,79.00,80.00,155400,79.80
2016-01-15,81.25,84.00,81.00,81.00,178800,80.80
2016-01-14,86.25,86.25,82.50,83.00,40800,82.80
2016-01-13,87.25,88.00,86.00,86.25,289900,86.04
2016-01-12,84.50,87.50,84.50,87.25,56700,87.04
2016-01-11,86.00,86.00,84.50,85.25,22900,85.04
2016-01-08,84.50,86.00,83.50,85.25,36800,85.04
2016-01-07,83.75,83.75,80.00,83.50,34800,83.29
2016-01-06,83.75,83.75,83.75,83.75,000,83.54
2016-01-05,85.00,85.00,83.25,83.75,46400,83.54
2016-01-04,84.00,84.75,82.50,84.75,27900,84.54
2016-01-01,84.50,84.50,84.50,84.50,000,84.29
2015-12-31,84.50,84.50,84.50,84.50,000,84.29
2015-12-30,88.00,88.75,84.00,84.50,127800,84.29
2015-12-29,89.00,92.00,87.50,87.50,68800,87.28
2015-12-28,87.00,88.75,87.00,88.00,10900,87.78
2015-12-25,87.00,87.00,87.00,87.00,000,86.79
2015-12-24,87.00,87.00,87.00,87.00,000,86.79
2015-12-23,87.00,87.25,85.00,87.00,78400,86.79
2015-12-22,89.25,92.00,84.50,86.25,161000,86.04
2015-12-21,84.00,88.75,84.00,86.50,19200,86.29
2015-12-18,89.50,89.50,83.75,88.00,329300,87.78
2015-12-17,84.25,88.00,84.25,86.00,33000,85.79
2015-12-16,83.00,86.50,83.00,84.25,17900,84.04
2015-12-15,82.00,83.75,82.00,82.75,37000,82.55
2015-12-14,85.00,88.00,82.50,83.00,25200,82.80
2015-12-11,85.00,86.25,83.75,85.00,588900,84.79
2015-12-10,87.00,87.00,85.25,85.25,24700,85.04
2015-12-09,88.00,89.25,85.25,85.25,17000,85.04
2015-12-08,90.50,90.50,87.75,87.75,19900,87.53
2015-12-07,92.50,92.50,87.25,90.50,26200,90.28
2015-12-04,93.00,93.50,91.25,92.50,11100,92.27
2015-12-03,92.50,95.25,92.50,94.00,35700,93.77
2015-12-02,97.25,97.25,90.75,92.25,71700,92.02
2015-12-01,93.25,97.50,89.50,94.75,55500,94.52
2015-11-30,85.00,93.25,84.75,93.25,59400,93.02
2015-11-27,85.00,85.00,83.00,83.75,16300,83.54
2015-11-26,82.50,84.50,82.50,83.75,16800,83.54
2015-11-25,86.50,87.50,82.50,83.00,56900,82.80
2015-11-24,83.00,85.00,82.00,84.00,65900,83.79
2015-11-23,84.00,84.50,81.50,83.00,153900,82.80
2015-11-20,86.00,87.00,82.50,83.00,42600,82.80
2015-11-19,87.75,87.75,83.25,86.00,199800,85.79
2015-11-18,94.00,94.00,89.50,90.00,28900,89.78
2015-11-17,94.00,96.00,94.00,94.00,13500,93.77
2015-11-16,94.75,95.25,92.75,93.50,19500,93.27
2015-11-13,95.75,95.75,93.50,93.50,4200,93.27
2015-11-12,97.75,98.50,95.00,95.25,24100,95.02
2015-11-11,96.00,99.00,96.00,98.00,50200,97.76
2015-11-10,99.00,99.00,97.25,98.75,8800,98.51
2015-11-09,99.00,99.00,96.00,98.25,24600,98.01
2015-11-06,96.25,99.00,95.50,99.00,24400,98.76
2015-11-05,97.00,98.00,95.50,97.75,9300,97.51
2015-11-04,94.00,97.00,94.00,96.75,25100,96.51
2015-11-03,95.00,95.00,93.25,93.50,7200,93.27
2015-11-02,95.75,95.75,92.00,94.50,13900,94.27
2015-10-30,91.00,94.00,88.50,94.00,21900,93.77
2015-10-29,94.00,94.00,90.25,90.75,1700,90.53
2015-10-28,91.50,92.00,90.50,91.50,108900,91.27
2015-10-27,90.75,93.00,89.50,91.00,22800,90.78
2015-10-26,90.00,93.00,89.25,90.75,26900,90.53
2015-10-23,89.75,90.50,88.75,90.25,18400,90.03
2015-10-22,89.00,90.00,88.75,89.00,127500,88.78
2015-10-21,90.25,91.50,88.50,88.50,147100,88.28
2015-10-20,89.50,91.50,89.25,90.25,9300,90.03
2015-10-19,90.00,91.50,90.00,91.00,10800,90.78
2015-10-16,88.00,91.00,87.25,90.25,27700,90.03
2015-10-15,90.00,90.50,89.25,89.75,9200,89.53
2015-10-14,90.00,90.00,88.50,88.50,108700,88.28
2015-10-13,90.00,90.00,88.75,89.50,16300,89.28
2015-10-12,91.00,92.50,90.25,90.25,64400,90.03
2015-10-09,91.00,91.75,91.00,91.00,10500,90.78
2015-10-08,91.50,92.00,90.75,91.00,3100,90.78
2015-10-07,92.50,92.50,91.25,92.00,67400,91.77
2015-10-06,91.00,92.75,90.00,91.50,20400,91.27
2015-10-05,92.50,92.50,91.00,91.50,121300,91.27
2015-10-02,92.00,93.00,91.25,91.25,8500,91.03
2015-10-01,92.50,93.25,91.50,92.50,10600,92.27
2015-09-30,91.50,92.50,90.25,91.75,47400,91.52
2015-09-29,90.00,91.25,88.50,89.50,58200,89.28
2015-09-28,93.50,93.50,90.50,90.50,17600,90.28
2015-09-25,92.50,93.50,90.00,92.50,23500,92.27
2015-09-24,93.50,93.50,90.00,90.50,8500,90.28
